Nom,URL,Image,Nom Commercial,Code DCI,Forme,Dosage,Conditionnement,Type,Liste,Pays,Tarif de référence,PPA
,https://www.pharmnet-dz.com//medic.aspx?id=4464,,BERLTHYROX,09K056,COMP. SEC.,Cliquez ici,B/50 ET B/100,Prod locale : Non,CORTIPRED 20MG COMP. EFFERV. B/20,ALLEMAGNE,0 DA,DA
,https://www.pharmnet-dz.com//medic.aspx?id=5900,,BERTOCIL,17C006,COLLY.,Cliquez ici,FL/5ML,Prod locale : Oui,CROPINE 0.5% COLLY. EN SOL. FL./10ML,ALLEMAGNE,182.01  DA,198.35  DA
,https://www.pharmnet-dz.com//medic.aspx?id=4607,,BETABIO,09H020,SUSP. BUV. GTTES.,Cliquez ici,B/ FL 30ML+PIPETTE GRADUEE,Prod locale : Non,CORTIPRED 20MG COMP. EFFERV. B/20,ALGERIE,0 DA,N/A
,https://www.pharmnet-dz.com//medic.aspx?id=4608,,BETABIO,09H133,COMP. DISPERS.,Cliquez ici,PILULIER DE 20,Prod locale : Non,CORTIPRED 20MG COMP. EFFERV. B/20,ALGERIE,0 DA,N/A
,https://www.pharmnet-dz.com//medic.aspx?id=6292,,BETACROVIS,09H020,SOL. BUV. GTTES.,Cliquez ici,B/1FL DE 40ML+ 01 PIPETTE GRADUEE à 80 GOUTTES,Prod locale : Non,CORTIPRED 20MG COMP. EFFERV. B/20,ALGERIE,N/A DA,204.67 DA
,https://www.pharmnet-dz.com//medic.aspx?id=5812,,CABERNEX,09D168,COMP.,Cliquez ici,B/08,Prod locale : Non,CORTIPRED 20MG COMP. EFFERV. B/20,ALGERIE,2190 DA,2190 DA
,https://www.pharmnet-dz.com//medic.aspx?id=3385,,CALCIAL,14G135,SIROP,Cliquez ici,FL/125ML,Prod locale : Oui,CALCIDOSE VITAMINE D 400UI/500MG/SACHET PDRE. ORALE  B/30 SACHETS,ALGERIE,N/A,189.00 DA
,https://www.pharmnet-dz.com//medic.aspx?id=3338,,CALCIBRO,14G027,COMP. EFFERV.,Cliquez ici,T/20,Prod locale : Oui,CALCIDOSE VITAMINE D 400UI/500MG/SACHET PDRE. ORALE  B/30 SACHETS,ALGERIE,0 DA,260.00 DA
,https://www.pharmnet-dz.com//medic.aspx?id=2339,,CALCIBRONAT,16G163,COMP. EFFERV.,Cliquez ici,B/20,Prod locale : Non,XEPLION 100MG/ML SUSP INJ LP B/01  SER PRE-REMP DE 0.75 ML(75 MG/0.75ML) ET 02 AIGUILLES,FRANCE,0 DA,428.00 DA
,https://www.pharmnet-dz.com//medic.aspx?id=3343,,CALCIDOSE,14G029,PDRE. SUSP. BUV.,Cliquez ici,B/30,Prod locale : Oui,CALCIDOSE VITAMINE D 400UI/500MG/SACHET PDRE. ORALE  B/30 SACHETS,ALGERIE,232.5 DA,N/A
,https://www.pharmnet-dz.com//medic.aspx?id=6112,,CALCIDOSE VITAMINE D,14H325,PDRE.,Cliquez ici,B/30 SACHETS,Prod locale : Oui,CALCIUM D3 WML 500 MG / 400 UI,ALGERIE,405 DA,400.00 DA
,https://www.pharmnet-dz.com//medic.aspx?id=3463,,CALCIDOSE VITAMINE D,14H325,PDRE.,Cliquez ici,B/30 SACHETS,Prod locale : Oui,CALCIDOSE VITAMINE D 400UI/500MG/SACHET PDRE. ORALE  B/30 SACHETS,ALGERIE,405 DA,N/A
,https://www.pharmnet-dz.com//medic.aspx?id=3386,,CALCIFOR,14G135,SIROP,Cliquez ici,FL/125ML,Prod locale : Oui,CALCIDOSE VITAMINE D 400UI/500MG/SACHET PDRE. ORALE  B/30 SACHETS,ALGERIE,138 DA,260.00 DA
,https://www.pharmnet-dz.com//medic.aspx?id=6306,,CALCIPOTRIOL Novagenerics®,07L099,PDE. DERM.,Cliquez ici,tube/30 g,Prod locale : Oui,ADAFERIN GEL DERMIQUE 0.1%,ALGERIE,"982,83 DA","982,83 DA"
,https://www.pharmnet-dz.com//medic.aspx?id=3408,,CALCIUM API,14G315,COMP. EFFERV.,Cliquez ici,FL./20,Prod locale : Oui,CALCIDOSE VITAMINE D 400UI/500MG/SACHET PDRE. ORALE  B/30 SACHETS,ALGERIE,155 DA,189.00 DA
,https://www.pharmnet-dz.com//medic.aspx?id=3340,,CALCIUM CHLORURE,14G028,SOL. INJ.,Cliquez ici,AMP. DE 5ML ET AMP. DE 10ML,Prod locale : Oui,CALCIDOSE VITAMINE D 400UI/500MG/SACHET PDRE. ORALE  B/30 SACHETS,TUNISIE,0 DA,DA
,https://www.pharmnet-dz.com//medic.aspx?id=3339,,CALCIUM CHLORURE,14G028,SOL. INJ.,Cliquez ici,B/100AMP. DE 10ML,Prod locale : Oui,CALCIDOSE VITAMINE D 400UI/500MG/SACHET PDRE. ORALE  B/30 SACHETS,FRANCE,N/A,N/A
,https://www.pharmnet-dz.com//medic.aspx?id=5869,,CALCIUM D3 NOVAGENERICS,14G175,COMP. A SUCER,Cliquez ici,PILULIER DE 60,Prod locale : Oui,CALCIDOSE VITAMINE D 400UI/500MG/SACHET PDRE. ORALE  B/30 SACHETS,ALGERIE,810 DA,DA
,https://www.pharmnet-dz.com//medic.aspx?id=5868,,CALCIUM D3 SOPHAL,14G175,COMP. A SUCER,Cliquez ici,B/60,Prod locale : Oui,CALCIDOSE VITAMINE D 400UI/500MG/SACHET PDRE. ORALE  B/30 SACHETS,ALGERIE,810 DA,DA
,https://www.pharmnet-dz.com//medic.aspx?id=6264,,CALCIUM D3 WML,14H334,COMP. A SUCER,Cliquez ici,60,Prod locale : Oui,CALCIDOSE VITAMINE D 400UI/500MG/SACHET PDRE. ORALE  B/30 SACHETS,ALGERIE,"810,00 DA",DA
,https://www.pharmnet-dz.com//medic.aspx?id=1760,,CALCIUM FOLINAT EBEWE,12E031,GLES.,Cliquez ici,B/20,Prod locale : Oui,ADCETRIS 50 MG / ML  POUDRE POUR SOLUTION A DILUER POUR PERFUSION  B/01 FLACON,AUTRICHE,N/A,N/A
